gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
ARPC2,-0.757110798,Arg,293T,0.262472454,0.144949015,-0.902059813,,,,,
ARPC3,-0.975429745,Arg,293T,3.70E-14,0.972859893,-1.948289638,,,,,
ARPC4,-0.810164973,Arg,293T,NA,NA,NA,,,,,
ARPC5,-0.752368292,Arg,293T,0.006123671,-1.110802733,0.358434441,,,,,
ARPIN,2.708976402,Arg,293T,NA,NA,NA,,,,,
ARRB2,-2.088549855,Arg,293T,NA,NA,NA,,,,,
ARX,-2.62391885,Arg,293T,NA,NA,NA,,,,,
ASCC1,-1.85791312,Arg,293T,0.433284694,-0.527654652,-1.330258468,,,,,
ASCC2,-0.98835208,Arg,293T,NA,NA,NA,,,,,
ASCC3,-2.331356505,Arg,293T,0.47627357,0.314284788,-2.645641293,,,,,
ASRGL1,0.09599555,Arg,293T,0.025918634,0.708749456,-0.612753906,,,,,
ASH2L,-0.617825703,Arg,293T,NA,NA,NA,,,,,
C2orf49,-0.388502578,Arg,293T,0.006983043,0.763170833,-1.15167341,,,,,
ASMTL,NA,Arg,293T,NA,NA,NA,,,,,
GET3,-0.157199495,Arg,293T,NA,NA,NA,,,,,
ASNS,-0.981340492,Arg,293T,8.20E-106,2.902215747,-3.88355624,,,,,
ASPH,-1.742369327,Arg,293T,0.005991635,-1.061485655,-0.680883673,,,,,
TP53BP2,-0.903480895,Arg,293T,0.043580126,2.018942137,-2.922423032,,,,,
ASS1,1.589648855,Arg,293T,1.21E-32,3.425888196,-1.836239341,,,,,
L0R819,-3.084704141,Arg,293T,NA,NA,NA,,,,,
ATP13A1,-1.10644296,Arg,293T,NA,NA,NA,,,,,
ATP1A1,-1.22234324,Arg,293T,0.346214705,0.363515083,-1.585858323,,,,,
ATP1B1,-1.5116524,Arg,293T,0.385729101,0.612326546,-2.123978946,,,,,
ATP1B3,-1.5200542,Arg,293T,0.009892118,-1.721291006,0.201236806,,,,,
ATP2A2,-1.341394138,Arg,293T,NA,NA,NA,,,,,
ATP2B1,-1.7906803,Arg,293T,0.005906897,0.561965881,-2.352646181,,,,,
ATP2B4,-0.832496173,Arg,293T,NA,NA,NA,,,,,
ATP2C1,1.710141913,Arg,293T,0.73903659,0.239666542,1.470475372,,,,,
Q5VTU8,-1.190625193,Arg,293T,NA,NA,NA,,,,,
ATP5PB,-1.097183588,Arg,293T,NA,NA,NA,,,,,
ATAD1,-1.57734468,Arg,293T,0.533045495,0.210659205,-1.788003885,,,,,
ATAD2,-3.485100545,Arg,293T,0.21443006,0.230134959,-3.715235504,,,,,
ATAD3A,-0.97701661,Arg,293T,NA,NA,NA,,,,,
ATAD3B,-1.38463835,Arg,293T,NA,NA,NA,,,,,
ATE1,-0.34100965,Arg,293T,0.028852884,1.075872412,-1.416882062,,,,,
ATG13,-17.23564548,Arg,293T,NA,NA,NA,,,,,
ATG3,0.103914382,Arg,293T,0.00486822,-0.920926728,1.02484111,,,,,
ATG4B,-2.846903078,Arg,293T,0.367551947,-0.808048285,-2.038854792,,,,,
ATG5,-0.801805539,Arg,293T,NA,NA,NA,,,,,
ATG7,-1.401685783,Arg,293T,0.356559529,0.624735707,-2.02642149,,,,,
ATP5IF1,-0.79450792,Arg,293T,NA,NA,NA,,,,,
ATL2,-1.04619722,Arg,293T,NA,NA,NA,,,,,
ATL3,-1.836334775,Arg,293T,0.276195527,0.423508973,-2.259843748,,,,,
ATOX1,-1.056814352,Arg,293T,9.92E-16,-1.156553887,0.099739535,,,,,
ATP5PD,-1.0020295,Arg,293T,NA,NA,NA,,,,,
ATP5ME,-1.125048375,Arg,293T,NA,NA,NA,,,,,
ATP5MG,-1.036672277,Arg,293T,NA,NA,NA,,,,,
ATP6,-1.055354107,Arg,293T,NA,NA,NA,,,,,
ATP5F1A,-0.982065632,Arg,293T,NA,NA,NA,,,,,
ATP5F1B,-1.149222812,Arg,293T,NA,NA,NA,,,,,
ATPAF1,-2.362894127,Arg,293T,NA,NA,NA,,,,,
ATP5F1C,-1.162901983,Arg,293T,NA,NA,NA,,,,,
ATP5MF,-0.793059373,Arg,293T,NA,NA,NA,,,,,
ATP5PO,-0.901278702,Arg,293T,NA,NA,NA,,,,,
ATR,-2.290544732,Arg,293T,0.014896972,-0.981338352,-1.30920638,,,,,
ATRX,-1.916675765,Arg,293T,0.704533755,0.076483758,-1.993159523,,,,,
ATXN10,-1.438333548,Arg,293T,1.95E-04,1.141493605,-2.579827153,,,,,
ATXN2,-2.25424689,Arg,293T,0.175238807,0.85458118,-3.10882807,,,,,
ATXN2L,-0.377033103,Arg,293T,NA,NA,NA,,,,,
ATXN3,-0.689954793,Arg,293T,0.004267919,0.873591952,-1.563546746,,,,,
AUP1,-1.921256087,Arg,293T,0.63804846,-0.157310345,-1.763945741,,,,,
AVEN,-0.13506188,Arg,293T,NA,NA,NA,,,,,
BCL2L13,-1.168897195,Arg,293T,0.003309697,-1.174241995,0.0053448,,,,,
B3GLCT,-1.285786897,Arg,293T,NA,NA,NA,,,,,
BABAM1,-0.6459781,Arg,293T,0.038198221,-0.620173373,-0.025804727,,,,,
BABAM2,-0.8368477,Arg,293T,NA,NA,NA,,,,,
ACOT7,-0.641329067,Arg,293T,0.937037593,-0.044440874,-0.596888194,,,,,
BANF1,-0.23157092,Arg,293T,0.89664769,-0.025684757,-0.205886163,,,,,
BAG2,-4.448354924,Arg,293T,NA,NA,NA,,,,,
BAG3,-0.841168087,Arg,293T,NA,NA,NA,,,,,
BAG4,-1.600146623,Arg,293T,NA,NA,NA,,,,,
BAG5,-2.577921097,Arg,293T,0.292749324,0.384245001,-2.962166099,,,,,
BAG6,-3.518152444,Arg,293T,0.00157347,1.197701409,-4.715853853,,,,,
BAIAP2,-1.728016983,Arg,293T,NA,NA,NA,,,,,
BCAP29,-2.377387543,Arg,293T,NA,NA,NA,,,,,
BCAP31,-0.920684938,Arg,293T,0.087998705,-0.393792385,-0.526892553,,,,,
BSG,-2.403379355,Arg,293T,0.010206879,-0.737075422,-1.666303933,,,,,
BASP1,0.867836146,Arg,293T,NA,NA,NA,,,,,
BAX,-4.087541821,Arg,293T,NA,NA,NA,,,,,
BAZ1A,-4.256503597,Arg,293T,0.07230126,0.41277843,-4.669282027,,,,,
BAZ1B,-2.320249587,Arg,293T,9.97E-04,1.104333954,-3.424583542,,,,,
BCAT1,-0.357725588,Arg,293T,0.117278747,0.946963552,-1.30468914,,,,,
BCAT2,-1.408549375,Arg,293T,0.737810946,0.228799187,-1.637348562,,,,,
BCCIP,-0.95133733,Arg,293T,2.40E-10,-1.276871643,0.325534313,,,,,
ZNHIT6,-1.495776925,Arg,293T,0.159023203,0.729408967,-2.225185892,,,,,
BCKDK,-2.186824187,Arg,293T,NA,NA,NA,,,,,
BCL7A,-1.066914552,Arg,293T,NA,NA,NA,,,,,
BCLAF1,-1.453675915,Arg,293T,0.025870991,-0.259185556,-1.194490359,,,,,
